26Q;A;3;BCM  _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20031211
86Q;A;22;BCM  _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20031211
36Q;H;20;BCM  _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20031211
76Q;A;8;BCM  _CLE                 _000;CLE APPLICATIVE                                                                                     ;20031211
16X;H;20;BDCP _HARD                _000;REFERENCE DU HARD                                                                                   ;20040120
96X;H;10;BDCP _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20040120
26X;A;3;BDCP _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20040120
86X;A;22;BDCP _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20040120
36X;H;20;BDCP _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20040120
76X;A;8;BDCP _CLE                 _000;CLE APPLICATIVE                                                                                     ;20040120
14T;H;20;BDM  _HARD                _000;REFERENCE DU HARD                                                                                   ;20020705
94T;H;10;BDM  _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20020705
24T;A;3;BDM  _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20020705
84T;A;22;BDM  _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20020705
34T;H;20;BDM  _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20020705
74T;A;8;BDM  _CLE                 _000;CLE APPLICATIVE                                                                                     ;20020705
18B;H;20;BDMA _HARD                _000;REFERENCE DU HARD                                                                                   ;20050617
98B;H;10;BDMA _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20050617
28B;A;3;BDMA _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20050617
88B;A;22;BDMA _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20050617
38B;H;20;BDMA _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20050617
78B;A;8;BDMA _CLE                 _000;CLE APPLICATIVE                                                                                     ;20050617
18A;H;20;BDMP _HARD                _000;REFERENCE DU HARD                                                                                   ;20031209
98A;H;10;BDMP _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20031209
28A;A;3;BDMP _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20031209
88A;A;22;BDMP _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20031209
38A;H;20;BDMP _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20031209
78A;A;8;BDMP _CLE                 _000;CLE APPLICATIVE                                                                                     ;20031209
14U;H;20;BEBA _HARD                _000;REFERENCE DU HARD                                                                                   ;20070725
94U;H;10;BEBA _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20070725
24U;A;3;BEBA _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20070725
84U;A;22;BEBA _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20070725
34U;H;20;BEBA _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20070725
74U;A;8;BEBA _CLE                 _000;CLE APPLICATIVE                                                                                     ;20070725
19F;H;20;BECB _HARD                _000;REFERENCE DU HARD                                                                                   ;20060725
99F;H;10;BECB _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20060725
29F;A;3;BECB _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20060725
89F;A;22;BECB _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20060725
39F;H;20;BECB _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20060725
79F;A;8;BECB _CLE                 _000;CLE APPLICATIVE                                                                                     ;20060725
19G;H;20;BECH _HARD                _000;REFERENCE DU HARD                                                                                   ;20051104
99G;H;10;BECH _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20051104
29G;A;3;BECH _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20051104
89G;A;22;BECH _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20051104
39G;H;20;BECH _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20051104
79G;A;8;BECH _CLE                 _000;CLE APPLICATIVE                                                                                     ;20051104
19U;H;20;BEM  _HARD                _000;REFERENCE DU HARD                                                                                   ;20061002
99U;H;10;BEM  _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20061002
29U;A;3;BEM  _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20061002
89U;A;22;BEM  _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20061002
39U;H;20;BEM  _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20061002
79U;A;8;BEM  _CLE                 _000;CLE APPLICATIVE                                                                                     ;20061002
14N;H;20;BHI  _HARD                _000;REFERENCE DU HARD                                                                                   ;20020705
94N;H;10;BHI  _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20020705
24N;A;3;BHI  _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20020705
84N;A;22;BHI  _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20020705
34N;H;20;BHI  _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20020705
74N;A;8;BHI  _CLE                 _000;CLE APPLICATIVE                                                                                     ;20020705
11C;H;20;BIR  _HARD                _000;REFERENCE DU HARD                                                                                   ;20070917
91C;H;10;BIR  _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20070917
21C;A;3;BIR  _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20070917
81C;A;22;BIR  _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20070917
31C;H;20;BIR  _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20070917
71C;A;8;BIR  _CLE                 _000;CLE APPLICATIVE                                                                                     ;20070917
11S;H;20;BLVV _HARD                _000;REFERENCE DU HARD                                                                                   ;20090604
91S;H;10;BLVV _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20090604
21S;A;3;BLVV _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20090604
81S;A;22;BLVV _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20090604
31S;H;20;BLVV _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20090604
71S;A;8;BLVV _CLE                 _000;CLE APPLICATIVE                                                                                     ;20090604
11N;H;20;BPGA _HARD                _000;REFERENCE DU HARD                                                                                   ;20090305
91N;H;10;BPGA _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20090305
21N;A;3;BPGA _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20090305
81N;A;22;BPGA _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20090305
31N;H;20;BPGA _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20090305
71N;A;8;BPGA _CLE                 _000;CLE APPLICATIVE                                                                                     ;20090305
19B;H;20;BPL  _HARD                _000;REFERENCE DU HARD                                                                                   ;20050620
99B;H;10;BPL  _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20050620
29B;A;3;BPL  _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20050620
89B;A;22;BPL  _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20050620
39B;H;20;BPL  _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20050620
79B;A;8;BPL  _CLE                 _000;CLE APPLICATIVE                                                                                     ;20050620
19S;H;20;BRTC _HARD                _000;REFERENCE DU HARD                                                                                   ;20070406
99S;H;10;BRTC _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20070406
29S;A;3;BRTC _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20070406
89S;A;22;BRTC _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20070406
39S;H;20;BRTC _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20070406
79S;A;8;BRTC _CLE                 _000;CLE APPLICATIVE                                                                                     ;20070406
11L;H;20;BRVA _HARD                _000;REFERENCE DU HARD                                                                                   ;20080606
91L;H;10;BRVA _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20080606
21L;A;3;BRVA _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20080606
81L;A;22;BRVA _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20080606
31L;H;20;BRVA _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20080606
71L;A;8;BRVA _CLE                 _000;CLE APPLICATIVE                                                                                     ;20080606
16E;H;20;BSC  _HARD                _000;REFERENCE DU HARD                                                                                   ;20030317
96E;H;10;BSC  _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20030317
26E;A;3;BSC  _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20030317
86E;A;22;BSC  _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20030317
